Index,Champion,Other Champions,Synergy,Counter,Synergy Total,Counter Total
225,Akali,Malphite,-4,0,4,0
226,Akali,Malzahar,0,0,0,0
227,Akali,Maokai,0,-1,2,1
228,Akali,Master Yi,0,0,0,0
229,Akali,Miss Fortune,0,0,0,0
230,Akali,Mordekaiser,-1,-2,1,4
231,Akali,Morgana,-2,-3,2,5
232,Akali,Nami,1,5,7,13
233,Akali,Nasus,0,0,0,0
234,Akali,Nautilus,-1,-5,3,5
235,Akali,Neeko,-1,0,1,0
236,Akali,Nidalee,0,-2,6,8
237,Akali,Nocturne,-1,-2,3,2
238,Akali,Nunu and Willump,0,0,0,0
239,Akali,Olaf,0,-2,0,2
240,Akali,Orrn,0,0,0,0
241,Akali,Orianna,-1,1,1,3
242,Akali,Pantheon,0,-3,0,3
243,Akali,Poppy,1,-1,3,1
244,Akali,Pyke,1,1,5,7
245,Akali,Quinn,0,-1,0,3
246,Akali,Rammus,-1,-2,1,2
247,Akali,Rakan,3,4,13,6
248,Akali,Rek Sai,0,0,0,0
249,Akali,Renekton,0,-1,4,11
250,Akali,Rengar,1,-3,1,5
251,Akali,Riven,0,-3,2,5
252,Akali,Rumble,1,-2,1,2
253,Akali,Ryze,1,8,1,10
254,Akali,Samira,1,0,1,2
255,Akali,Sejuani,0,0,0,2
256,Akali,Seraphine,-7,2,7,6
257,Akali,Shaco,-3,1,3,3
258,Akali,Shen,-1,5,3,5
259,Akali,Shyvana,0,-1,0,1
260,Akali,Singed,0,0,2,0
261,Akali,Sion,-1,1,1,1
262,Akali,Sivir,0,-3,0,3
263,Akali,Skarner,-3,0,5,0
264,Akali,Sona,1,0,9,6
265,Akali,Soraka,0,1,4,1
266,Akali,Swain,-3,1,3,3
267,Akali,Syndra,-1,0,1,2
268,Akali,Sylas,-2,-3,4,7
269,Akali,Talon,2,-28,2,32
270,Akali,Taliyah,0,0,0,4
271,Akali,Taric,-2,-2,2,2
272,Akali,Tahm Kench,0,0,0,0
273,Akali,Thresh,-2,-14,6,20
274,Akali,Teemo,1,2,1,4
275,Akali,Tristana,-6,1,8,7
276,Akali,Trundle,1,0,5,10
277,Akali,Tryndamere,-1,-24,1,26
278,Akali,Twisted Fate,0,0,0,0
279,Akali,Twitch,5,-2,7,6
280,Akali,Udyr,1,0,1,0
281,Akali,Urgot,0,0,2,0
282,Akali,Varus,-2,-1,2,9
283,Akali,Vayne,1,-3,5,9
